aX,aY,aZ
0.31,1.594,0.649
0.284,1.545,0.664
0.233,1.525,0.674
0.184,1.488,0.673
0.166,1.469,0.666
0.136,1.425,0.664
0.122,1.399,0.656
0.101,1.322,0.651
0.084,1.297,0.649
0.076,1.242,0.644
0.061,1.214,0.641
0.051,1.157,0.638
0.029,1.13,0.633
0.02,1.101,0.643
0.004,1.053,0.622
-0.003,0.976,0.637
-0.011,0.971,0.654
-0.015,0.987,0.648
-0.02,0.985,0.63
-0.045,0.942,0.636
-0.054,0.915,0.657
-0.061,0.862,0.671
-0.058,0.838,0.698
-0.049,0.788,0.711
-0.039,0.774,0.74
-0.02,0.742,0.762
-0.01,0.726,0.799
0.011,0.681,0.813
0.024,0.634,0.848
0.047,0.61,0.865
0.062,0.567,0.896
0.087,0.547,0.91
0.101,0.509,0.937
0.126,0.494,0.949
0.139,0.479,0.953
0.143,0.471,0.956
0.149,0.458,0.955
0.152,0.454,0.95
0.164,0.438,0.945
0.168,0.426,0.944
0.177,0.414,0.939
0.182,0.402,0.92
0.182,0.396,0.904
0.185,0.38,0.874
0.198,0.37,0.859
0.205,0.342,0.822
0.228,0.32,0.806
0.244,0.268,0.782
0.276,0.243,0.773
0.29,0.194,0.742
0.319,0.169,0.731
0.332,0.126,0.712
0.357,0.108,0.706
0.368,0.062,0.694
0.396,0.034,0.691
0.408,-0.02,0.69
0.428,-0.05,0.692
0.432,-0.105,0.707
0.426,-0.124,0.733
0.399,-0.148,0.75
0.386,-0.165,0.787
0.376,-0.202,0.807
0.374,-0.245,0.84
0.369,-0.268,0.854
0.368,-0.314,0.854
0.366,-0.329,0.841
0.362,-0.362,0.821
0.36,-0.401,0.763
0.355,-0.421,0.693
0.349,-0.457,0.652
0.344,-0.48,0.565
0.354,-0.525,0.533
0.36,-0.561,0.437
0.366,-0.648,0.4
0.367,-0.691,0.361
0.388,-0.79,0.346
0.404,-0.904,0.327
0.441,-0.963,0.323
0.457,-1.073,0.316
0.48,-1.129,0.304
0.49,-1.252,0.302
0.49,-1.315,0.307
0.486,-1.444,0.319
0.483,-1.51,0.352
0.467,-1.611,0.36
0.454,-1.629,0.376
0.411,-1.757,0.384
0.388,-1.843,0.388
0.339,-1.876,0.391
0.276,-1.921,0.386
0.243,-1.992,0.368
0.173,-2.055,0.358
0.141,-2.074,0.33
0.074,-2.107,0.314
0.048,-2.123,0.28
-0.004,-2.127,0.263
-0.047,-2.126,0.24
-0.07,-2.119,0.221
-0.089,-2.085,0.208
-0.119,-2.023,0.207
-0.135,-1.95,0.225
-0.133,-1.917,0.242
-0.134,-1.841,0.277
-0.102,-1.798,0.295
-0.081,-1.719,0.323
-0.038,-1.674,0.356
0.012,-1.593,0.372
0.043,-1.556,0.415
0.124,-1.492,0.44
0.163,-1.422,0.488
0.232,-1.385,0.504
0.286,-1.313,0.519
0.311,-1.273,0.53
0.358,-1.19,0.533
0.374,-1.147,0.535
0.41,-1.063,0.531
0.425,-1.025,0.526
0.452,-0.944,0.524
0.462,-0.861,0.518
0.484,-0.821,0.519
0.491,-0.739,0.515
0.505,-0.702,0.518
0.521,-0.627,0.515
0.522,-0.592,0.51
0.526,-0.524,0.507
0.524,-0.452,0.508
-0.317,1.203,0.523
-0.354,1.447,0.531
-0.335,1.671,0.604
-0.159,1.884,0.678
-0.092,1.873,0.723
0.027,1.846,0.752
0.08,1.768,0.806
0.188,1.7,0.808
0.271,1.6,0.8
0.306,1.614,0.846
0.309,1.622,0.852
0.314,1.651,0.852
0.302,1.762,0.891
0.272,1.8,0.896
0.27,1.849,0.914
0.309,1.859,0.947
0.345,1.834,0.989
0.407,1.831,1.016
0.422,1.822,1.04
0.398,1.853,1.048
0.369,1.859,1.06
0.285,1.891,1.062
0.246,1.98,1.111
0.236,1.978,1.146
0.223,1.938,1.154
0.224,1.906,1.155
0.229,1.819,1.157
0.229,1.792,1.152
0.223,1.752,1.152
0.209,1.671,1.143
0.206,1.738,1.138
0.199,1.701,1.109
0.178,1.588,1.101
0.171,1.53,1.086
0.159,1.435,1.083
0.149,1.404,1.074
0.118,1.373,1.062
0.095,1.358,1.047
0.049,1.328,1.033
0.031,1.305,1.009
-0.007,1.267,1.006
-0.025,1.126,1.014
-0.064,1.202,1.006
-0.083,1.159,0.999
-0.115,1.146,0.997
-0.126,1.116,0.977
-0.146,1.093,0.971
-0.154,1.05,0.967
-0.169,1.027,0.96
-0.182,0.983,0.963
-0.183,0.962,0.967
-0.175,0.928,0.971
-0.166,0.911,0.972
-0.15,0.874,0.971
-0.142,0.832,0.969
-0.134,0.813,0.964
-0.122,0.787,0.965
-0.116,0.776,0.961
-0.109,0.754,0.956
-0.103,0.745,0.952
-0.098,0.717,0.951
-0.092,0.691,0.944
-0.079,0.676,0.94
-0.076,0.646,0.924
-0.063,0.639,0.914
-0.058,0.608,0.891
-0.055,0.587,0.882
-0.041,0.561,0.876
-0.031,0.551,0.862
-0.013,0.532,0.856
-0.004,0.524,0.86
0.018,0.512,0.862
0.029,0.376,0.857
0.065,0.474,0.859
0.087,0.46,0.866
0.128,0.436,0.871
0.148,0.427,0.877
0.184,0.4,0.884
0.199,0.395,0.882
0.212,0.399,0.874
0.22,0.4,0.859
0.247,0.397,0.854
0.261,0.379,0.844
0.281,0.368,0.838
0.287,0.34,0.827
0.301,0.327,0.818
0.317,0.292,0.806
0.317,0.28,0.791
0.303,0.264,0.781
0.293,0.26,0.752
0.287,0.243,0.742
0.291,0.224,0.732
0.322,0.147,0.731
0.335,0.102,0.722
0.353,0.031,0.718
0.358,0.001,0.702
0.36,-0.043,0.691
0.362,-0.062,0.667
0.366,-0.12,0.653
0.367,-0.189,0.619
0.376,-0.228,0.605
0.374,-0.288,0.576
0.368,-0.314,0.559
0.365,-0.358,0.554
0.37,-0.381,0.574
0.383,-0.429,0.58
0.389,-0.457,0.601
0.405,-0.508,0.615
