aX,aY,aZ
-0.145,0.619,0.651
-0.14,0.623,0.64
-0.137,0.626,0.613
-0.133,0.63,0.601
-0.129,0.64,0.577
-0.125,0.647,0.559
-0.122,0.652,0.55
-0.12,0.658,0.526
-0.115,0.668,0.514
-0.113,0.671,0.499
-0.106,0.675,0.488
-0.104,0.679,0.467
-0.098,0.682,0.454
-0.095,0.684,0.411
-0.092,0.682,0.39
-0.09,0.689,0.351
-0.084,0.689,0.329
-0.083,0.683,0.291
-0.082,0.678,0.274
-0.081,0.66,0.239
-0.079,0.646,0.22
-0.08,0.61,0.181
-0.084,0.595,0.163
-0.087,0.582,0.141
-0.09,0.584,0.081
-0.079,0.583,0.054
-0.072,0.594,0.001
-0.064,0.6,-0.024
-0.061,0.595,-0.09
-0.041,0.603,-0.146
-0.028,0.621,-0.19
-0.02,0.634,-0.274
0.006,0.614,-0.285
0.012,0.619,-0.327
-0.007,0.654,-0.383
-0.001,0.663,-0.433
0.022,0.676,-0.456
0.021,0.689,-0.513
0.027,0.69,-0.509
0.024,0.692,-0.548
-0.002,0.702,-0.588
0,0.682,-0.593
-0.243,0.603,-1.19
-0.246,0.618,-1.174
-0.262,0.629,-1.01
-0.285,0.665,-1.005
-0.289,0.671,-0.926
-0.288,0.674,-0.862
-0.289,0.669,-0.735
-0.308,0.665,-0.684
-0.319,0.651,-0.602
-0.333,0.647,-0.56
-0.346,0.629,-0.484
-0.354,0.611,-0.399
-0.37,0.576,-0.361
-0.376,0.559,-0.291
-0.383,0.525,-0.28
-0.389,0.512,-0.262
-0.396,0.511,-0.253
-0.397,0.517,-0.254
-0.4,0.53,-0.258
-0.396,0.539,-0.264
-0.388,0.559,-0.28
-0.386,0.566,-0.324
-0.377,0.573,-0.342
-0.371,0.574,-0.36
-0.354,0.569,-0.385
-0.344,0.558,-0.442
-0.325,0.545,-0.468
-0.304,0.517,-0.494
-0.291,0.502,-0.503
-0.283,0.469,-0.525
-0.282,0.454,-0.53
-0.268,0.419,-0.52
-0.263,0.377,-0.506
-0.261,0.357,-0.503
-0.263,0.306,-0.503
-0.26,0.285,-0.506
-0.251,0.239,-0.506
-0.249,0.218,-0.517
-0.244,0.177,-0.519
-0.238,0.153,-0.536
-0.222,0.114,-0.541
-0.216,0.074,-0.566
-0.203,0.057,-0.591
-0.2,0.027,-0.626
-0.196,0.013,-0.677
-0.184,-0.012,-0.707
